Name,Age,Club,Nationality,Position,Appearances,Assist,Distance / 90 minutes,Goals,Conceded,Interception,Key Passes,Pass Attempt / 90 minutes,Pass Completed / 90 minutes,Shots on Target,Shots,Tackle Attempt,Tackle Won,Shutouts,Performance
Jesse Lingard,27,Man Utd,ENG,Midfielder,19,10,8.2,7,0,36,73,47.31,36.5,31,53,50,36,0,Good
Baptiste Guillaume,24,Watford,BEL,Striker,21,0,7.4,1,0,13,24,38.77,27.71,16,44,16,4,0,Bad
Raúl Ruiz,29,Lleida Esportiu,ESP,Midfielder,28,5,1.3,3,0,8,2,21.53,13.01,8,29,28,20,0,Bad
Sime Vrsaljko,28,Atlético,CRO,Defender,28,2,5.8,0,0,123,25,30.22,22.69,0,6,127,101,0,Good
Lautaro Giannetti,26,R. Betis,ARG,Defender,39,1,4.6,1,0,160,6,21.77,17.1,6,22,171,137,0,Good
João Gomes,22,Sevilla,POR,Goalkeeper,25,0,1.4,0,38,0,0,13.38,5.35,0,0,0,0,4,Bad
Todd Kane,26,Sunderland,ENG,Defender,26,0,7.5,1,0,154,34,40.65,27.47,1,1,133,93,0,Normal
Antonio Puertas,28,Albacete,ESP,Midfielder,23,0,4.8,4,0,30,1,30.51,19.1,17,38,30,15,0,Bad
Zied Jebali,20,Celta,TUN,Defender,8,0,4.6,0,0,33,0,18.79,14.16,3,9,43,38,0,Good
Jeff Hendrick,28,Brighton,IRL,Midfielder,5,1,8.4,0,0,38,9,56.22,38.85,2,6,17,13,0,Normal
Gorka Intxaurraga,20,Athletic,ESP,Defender,14,1,4.8,0,0,18,1,28.77,21.87,0,3,47,38,0,Bad
Julio García,20,Sevilla,ESP,Midfielder,16,1,5.2,3,0,35,4,37.24,30.93,7,20,26,16,0,Normal
Nacho Monreal,34,Stoke,ESP,Defender,19,2,7.3,0,0,132,32,40.99,30.95,2,2,113,93,0,Good
Francis,23,R. Betis,ESP,Midfielder,2,0,0,0,0,1,0,0,0,0,0,3,2,0,-
Maxwel Cornet,23,Getafe,CIV,Midfielder,22,1,4.4,3,0,14,4,25.39,13.71,15,34,22,7,0,Bad
José Morales,32,Levante,ESP,Midfielder,17,1,5.0,2,0,12,1,27.28,15.92,8,21,25,15,0,Bad
Aaron Cresswell,30,Newcastle,ENG,Defender,19,0,7.6,0,0,104,31,47.76,35.07,0,2,109,86,0,Good
Bashkim Kadrii,28,Brentford,ALB,Midfielder,27,4,7.6,6,0,46,45,35.63,25.65,15,30,63,35,0,Normal
Álvaro Rivero,22,Albacete,ESP,Midfielder,15,0,4.4,1,0,13,0,32.19,19.97,5,9,28,13,0,Bad
Cédric,28,Southampton,POR,Defender,28,0,7.6,2,0,157,101,51.86,40.34,2,9,145,107,0,Good
Cédric Bakambu,28,Villarreal,COD,Midfielder,24,0,4.3,11,0,17,0,21.05,10.44,38,74,7,2,0,Bad
Mauro Luna Diale,20,Celta,ARG,Midfielder,2,0,4.9,0,0,2,0,25.4,14.52,0,1,1,1,0,-
Adrián Marín,23,West Ham,ESP,Defender,12,0,7.4,0,0,97,15,45.41,33.42,0,0,114,83,0,Good
Marcel Schmelzer,32,Sevilla,GER,Defender,27,4,5.2,0,0,111,4,22.58,17.39,1,4,116,90,0,Good
Frédéric Guilbert,25,Tottenham,FRA,Defender,34,10,8.3,2,0,237,130,53.99,38.7,4,8,217,170,0,Good
Ager Aketxe,26,Getafe,ESP,Midfielder,9,2,3.8,2,0,4,6,29.7,18.6,7,14,6,3,0,Normal
Fran Serrano,24,Numancia,ESP,Defender,27,6,1.6,1,0,11,1,20.36,14.56,4,13,80,74,0,Bad
Néstor,19,Lugo,ESP,Defender,25,0,3.8,0,0,72,2,16.34,10.27,1,5,111,87,0,Bad
Ezequiel Rescaldani,27,Sunderland,ARG,Midfielder,26,3,7.0,5,0,26,54,35.59,25.09,23,59,33,12,0,Normal
Gaël Clichy,34,Levante,FRA,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Lévy Madinda,27,Celta,GAB,Midfielder,30,3,5.3,3,0,32,8,36.66,24.11,13,37,76,54,0,Normal
José Callejón,33,Swansea,ESP,Midfielder,5,0,8.4,0,0,10,9,35.3,26.88,2,9,14,9,0,Normal
Mateo Stamatov,20,Espanyol,BUL,Defender,16,1,4.5,0,0,24,1,28.32,17.14,0,2,30,22,0,Bad
Marko Rog,24,Sunderland,CRO,Midfielder,34,1,8.4,5,0,101,99,40.8,29.55,20,47,168,107,0,Good
Jordy Clasie,28,Southampton,NED,Midfielder,27,2,7.5,0,0,52,40,59.25,45,8,24,85,60,0,Normal
Álvaro,30,Espanyol,ESP,Defender,27,0,4.2,3,0,80,3,20.85,16.48,4,11,118,94,0,Bad
Karel Hosek,19,Crystal Palace,CZE,Defender,6,0,7.2,0,0,36,1,49.61,38.14,0,3,18,12,0,Normal
Iosu,19,Elche,ESP,Midfielder,3,1,5.1,0,0,3,1,19.96,12.26,0,0,4,2,0,-
Celso Borges,31,Deportivo,CRC,Defender,30,6,5.0,4,0,41,15,36.04,24.45,14,37,98,58,0,Bad
John Boakye,22,R. Madrid,GHA,Defender,7,0,6.4,0,0,16,7,32.45,22.65,0,1,24,19,0,Bad
Chete,24,Albacete,ESP,Defender,6,0,4.2,0,0,4,0,20.52,14.84,1,3,20,14,0,Bad
Iván,26,Valencia,ESP,Defender,12,0,4.9,0,0,21,0,26.9,19.66,0,2,34,28,0,Bad
Ben Gibson,27,Brentford,ENG,Defender,30,0,6.2,0,0,380,6,35.61,23.79,1,8,123,102,0,Good
Borja Domingo,24,Deportivo,ESP,Midfielder,2,0,4.2,0,0,1,0,31.4,18.84,4,6,2,1,0,-
Juan Aguilera,34,Elche,ESP,Defender,17,0,4.6,0,0,27,3,32.34,27.08,0,2,44,29,0,Bad
Stefano Magnasco,27,Deportivo,CHI,Defender,28,2,5.0,1,0,50,6,22.17,15.97,2,13,93,66,0,Bad
Tete,23,Albacete,ESP,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Yohan Boli,26,Granada,CIV,Midfielder,6,0,4.2,1,0,6,1,20.17,13.67,8,13,0,0,0,Bad
Alexis Ordóñez,20,Granada,ESP,Midfielder,5,0,4.8,2,0,7,1,21.61,11.54,4,7,7,4,0,Bad
José Carlos,23,R. Betis,ESP,Defender,13,0,4.5,0,0,46,4,21.14,16.09,0,5,52,41,0,Normal
Calvin Verdonk,22,Southampton,NED,Defender,22,0,6.0,0,0,183,2,38.88,29.81,2,3,96,81,0,Good
Víctor Álvarez,26,Villarreal,ESP,Defender,13,3,4.6,0,0,41,3,30.2,23.64,0,0,64,50,0,Normal
Fran Beltrán,21,Rayo,ESP,Midfielder,11,0,4.7,0,0,4,2,35.89,28.58,0,0,23,11,0,Bad
André Silva,24,Chelsea,POR,Striker,9,3,7.3,2,0,7,17,27.43,19.07,9,35,14,7,0,Normal
Jores Okore,27,Aston Villa,DEN,Defender,29,0,6.0,0,0,370,3,35.09,24.52,1,7,92,83,0,Good
Matej Mitrovic,26,Brighton,CRO,Defender,24,0,6.2,0,0,313,2,37.09,22.24,1,4,105,87,0,Good
Benik Afobe,27,Watford,COD,Midfielder,2,0,8.1,1,0,3,5,46.7,35.66,1,3,4,1,0,-
Marc Bartra,29,FC Barcelona,ESP,Defender,29,0,4.9,0,0,135,5,32.76,26.66,2,12,105,90,0,Good
Geferson,25,R. Betis,BRA,Defender,31,3,4.9,1,0,91,8,27.88,18.2,2,8,129,100,0,Bad
Borja Mayoral,22,R. Madrid,ESP,Striker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Fabián,23,R. Betis,ESP,Midfielder,23,4,4.5,1,0,49,9,35.33,26.86,4,16,46,28,0,Normal
Cristian Manea,22,Swansea,ROU,Defender,9,0,7.3,0,0,68,9,46.27,32.69,1,1,35,29,0,Good
Thomas Partey,26,Atlético,GHA,Midfielder,20,1,5.6,3,0,22,3,35.23,27.28,4,12,82,54,0,Bad
Renato Tapia,24,Sunderland,PER,Defender,27,0,8.2,1,0,92,23,58.1,46.55,5,14,70,50,0,Normal
Raheem Sterling,25,Man City,ENG,Midfielder,22,6,8.3,5,0,35,58,47.24,32.33,22,62,83,56,0,Good
Gerard Piqué,33,FC Barcelona,ESP,Defender,38,1,4.8,2,0,214,15,35.77,31.44,5,27,188,164,0,Good
Bruno,35,Villarreal,ESP,Defender,28,5,5.0,0,0,109,14,46.99,41.5,2,5,136,96,0,Normal
Lucas Pratto,31,Everton,ARG,Midfielder,19,1,7.5,4,0,47,35,42.6,27.9,21,45,43,29,0,Normal
Sergi Puig,19,Espanyol,ESP,Midfielder,22,0,4.2,4,0,11,0,23.4,16.05,18,39,23,9,0,Bad
Etienne Capoue,31,Watford,FRA,Defender,26,0,7.4,0,0,171,30,44.98,35.82,1,12,155,122,0,Good
Sergio Asenjo,30,Villarreal,ESP,Goalkeeper,30,0,1.5,0,48,0,0,19.66,9.62,0,0,2,2,4,Bad
Simão,31,Levante,MOZ,Defender,17,1,5.7,1,0,30,1,26.08,20.68,5,14,65,49,0,Bad
Gerónimo Rulli,27,R. Sociedad,ARG,Goalkeeper,39,0,1.7,0,39,0,0,20.08,11.26,0,0,0,0,13,Normal
Theo Walcott,30,Arsenal,ENG,Midfielder,5,1,6.5,2,0,2,10,21.22,14.57,6,15,4,4,0,Normal
Jordi Amat,27,Celta,ESP,Defender,22,0,4.3,0,0,70,2,22.61,18.52,2,9,94,76,0,Normal
Gino Peruzzi,27,Leicester,ARG,Defender,18,4,8.4,0,0,166,44,56.31,41.13,1,2,116,98,0,Good
Diego Laxalt,27,West Ham,URU,Midfielder,9,1,7.5,1,0,13,11,34.74,23.02,2,8,16,4,0,Normal
Calum Chambers,25,Stoke,ENG,Defender,27,2,7.1,0,0,291,25,47.47,31.12,4,5,208,173,0,Good
Héctor Bellerín,24,Arsenal,ESP,Defender,31,9,9.0,3,0,192,198,53.07,40.55,24,40,257,194,0,Good
Theo Bongonda,24,Swansea,BEL,Midfielder,28,3,8.5,4,0,50,69,38.44,27.67,17,33,67,34,0,Good
Luis Javier,19,Elche,ESP,Striker,3,0,3.9,1,0,2,0,20.85,12.07,2,7,4,1,0,-
Leonardo Alegre,20,Galatasaray,ARG,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Nordin Amrabat,32,Watford,MAR,Midfielder,26,4,8.6,3,0,60,52,42.17,28.37,13,32,81,41,0,Normal
Adam Forshaw,28,Brighton,ENG,Midfielder,13,1,8.4,0,0,27,15,54.13,38.15,1,3,29,23,0,Normal
